City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,port mathurin,-19.6833,63.4167,26.05,89,75,1.03,MU,1712849397
292,tarazona,41.9,-1.7333,22.9,43,6,6.76,ES,1712849397
293,les anglais,18.3054,-74.2197,28.89,63,0,2.74,HT,1712849397
294,abatskoye,56.2875,70.4555,-1.02,88,25,2.27,RU,1712849397
295,vernon,50.2581,-119.2691,7.56,66,100,2.57,CA,1712849259
296,salekhard,66.53,66.6019,-9.78,86,100,6.26,RU,1712849398
297,rockland,41.1668,-74.0496,12.35,93,100,3.34,US,1712849399
298,prineville,44.2999,-120.8345,9.79,71,0,0.0,US,1712849399
299,bargaal,11.2864,51.0773,28.57,71,1,2.89,SO,1712849399
300,xique xique,-10.8217,-42.7311,31.05,56,47,1.07,BR,1712849399
301,n'zeto,-7.2312,12.8666,28.47,75,100,5.25,AO,1712849399
302,port alfred,-33.5906,26.891,15.66,88,92,0.89,ZA,1712849399
303,sterling,39.0062,-77.4286,21.21,74,100,6.69,US,1712849143
304,remire-montjoly,4.9167,-52.2667,31.02,70,75,6.17,GF,1712849294
305,yelizovo,53.1873,158.3805,-0.92,70,0,5.0,RU,1712849400
306,vyksa,55.3175,42.1744,13.98,65,100,3.12,RU,1712849400
307,mocimboa,-11.3167,40.35,27.73,85,100,2.42,MZ,1712849400
308,debre birhan,9.6833,39.5333,17.35,48,27,3.1,ET,1712849400
309,lamu,-2.2717,40.902,29.47,77,33,4.37,KE,1712849400
310,plastun,44.7561,136.2939,6.35,79,86,0.48,RU,1712849400
311,qamdo,31.1667,97.2333,0.64,48,88,1.71,CN,1712849400
312,krasnyy chikoy,50.3643,108.7512,4.24,73,99,1.12,RU,1712849401
313,yeppoon,-23.1333,150.7333,16.88,80,10,3.91,AU,1712849401
314,ouddorp,51.8117,3.9347,14.95,79,100,6.23,NL,1712849404
315,shingu,33.7333,135.9833,12.12,91,82,3.21,JP,1712849404
316,hermanus,-34.4187,19.2345,18.78,62,4,9.1,ZA,1712849405
317,codrington,-38.2667,141.9667,14.04,59,100,2.38,AU,1712849405
318,esmeraldas,-19.7625,-44.3139,29.85,59,69,0.88,BR,1712849406
319,tres lagoas,-20.7511,-51.6783,32.44,49,67,2.77,BR,1712849406
320,crane,31.3974,-102.3501,20.07,24,0,3.44,US,1712849407
321,menongue,-14.6585,17.691,23.44,76,93,1.79,AO,1712849407
322,montepuez,-13.1256,38.9997,22.7,92,94,0.99,MZ,1712849407
323,chistopol',55.3631,50.6424,11.92,75,100,7.45,RU,1712849408
324,neka,36.6508,53.299,12.73,100,100,7.2,IR,1712849409
325,port moresby,-9.4431,147.1797,26.68,78,20,5.14,PG,1712849206
326,ginir,7.1333,40.7,20.77,70,17,2.48,ET,1712849363
327,mont belvieu,29.8477,-94.8908,22.14,60,0,5.87,US,1712849409
328,guane,22.2025,-84.0875,31.83,51,73,6.23,CU,1712849410
329,deniliquin,-35.5333,144.9667,11.28,74,0,2.72,AU,1712849410
330,dededo village,13.5178,144.8391,26.9,84,40,6.17,GU,1712849410
331,lagoa,39.05,-27.9833,15.6,90,100,3.71,PT,1712849410
332,muisne,0.6,-80.0333,29.21,66,8,2.21,EC,1712849411
333,kristiansund,63.1115,7.732,9.03,93,100,8.75,NO,1712849411
334,olinda,-8.0089,-34.8553,30.85,66,20,3.6,BR,1712849357
335,putina,-15.4667,-69.4333,7.35,83,86,3.83,PE,1712849411
336,colonia,50.9333,6.95,17.64,63,40,1.54,DE,1712849333
337,meru,0.0463,37.6559,18.61,91,94,0.76,KE,1712849412
338,wau,7.7029,27.9953,36.3,10,25,2.08,SS,1712849412
339,springbok,-29.6643,17.8865,23.57,24,0,7.46,ZA,1712849412
340,ganganagar,29.9167,73.8833,29.55,11,75,2.24,IN,1712849412
341,anna regina,7.2644,-58.5077,28.35,77,18,5.08,GY,1712849412
342,northam,51.0333,-4.2167,13.67,96,99,4.94,GB,1712849412
343,jinka,5.65,36.65,21.84,74,53,0.52,ET,1712849413
344,arica,-18.475,-70.3042,24.75,57,0,3.6,CL,1712849243
345,przysucha,51.3586,20.6289,18.51,49,2,2.86,PL,1712849413
346,huron,41.1501,-82.5499,17.49,93,100,5.84,US,1712849413
347,yatou,37.15,122.3833,9.07,80,37,3.06,CN,1712849413
348,boa vista,2.8197,-60.6733,30.99,58,40,8.75,BR,1712849388
349,kidal,18.4411,1.4078,39.98,6,100,0.91,ML,1712849414
350,san patricio,28.017,-97.5169,23.92,29,0,5.15,US,1712849414
351,guanare,9.0418,-69.7421,33.78,33,8,2.74,VE,1712849144
352,gunnedah,-30.9833,150.25,12.87,75,0,2.67,AU,1712849414
353,jiayuguan,39.8167,98.3,14.28,22,2,1.86,CN,1712849414
354,caleta de carquin,-11.0925,-77.6267,24.17,74,81,3.91,PE,1712849414
355,kargasok,59.0556,80.8572,-7.8,60,95,3.58,RU,1712849415
356,kavaratti,10.5669,72.642,29.38,71,0,4.48,IN,1712849415
357,marica,-22.9194,-42.8186,28.97,74,1,3.2,BR,1712849415
358,mili,6.0815,171.735,27.07,85,99,7.67,MH,1712849415
359,lospalos,-8.5186,127.0025,21.39,90,100,0.92,TL,1712849415
360,puerto armuelles,8.2833,-82.8667,29.99,71,100,1.34,PA,1712849416
361,hawick,55.4227,-2.7867,15.88,84,100,7.65,GB,1712849384
362,whitehorse,60.7161,-135.0538,-2.72,79,20,1.03,CA,1712849220
